match_number,round_number,date,location,home_team,away_team,result
223,15,18/12/2022 18:00,MetLife Stadium,New York Jets,Detroit Lions,
218,15,18/12/2022 21:05,Empower Field at Mile High,Denver Broncos,Arizona Cardinals,
216,15,18/12/2022 21:25,SoFi Stadium,Los Angeles Chargers,Tennessee Titans,
217,15,18/12/2022 21:25,Raymond James Stadium,Tampa Bay Buccaneers,Cincinnati Bengals,
215,15,19/12/2022 01:20,Allegiant Stadium,Las Vegas Raiders,New England Patriots,
214,15,20/12/2022 01:15,Lambeau Field,Green Bay Packers,Los Angeles Rams,
240,16,23/12/2022 01:15,MetLife Stadium,New York Jets,Jacksonville Jaguars,
232,16,24/12/2022 18:00,M&T Bank Stadium,Baltimore Ravens,Atlanta Falcons,
233,16,24/12/2022 18:00,Bank of America Stadium,Carolina Panthers,Detroit Lions,
234,16,24/12/2022 18:00,Soldier Field,Chicago Bears,Buffalo Bills,
235,16,24/12/2022 18:00,FirstEnergy Stadium,Cleveland Browns,New Orleans Saints,
236,16,24/12/2022 18:00,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Seattle Seahawks,
237,16,24/12/2022 18:00,U.S. Bank Stadium,Minnesota Vikings,New York Giants,
238,16,24/12/2022 18:00,Gillette Stadium,New England Patriots,Cincinnati Bengals,
239,16,24/12/2022 18:00,Nissan Stadium,Tennessee Titans,Houston Texans,
231,16,24/12/2022 21:05,Levi's Stadium,San Francisco 49ers,Washington Commanders,
230,16,24/12/2022 21:25,AT&T Stadium,Dallas Cowboys,Philadelphia Eagles,
229,16,25/12/2022 01:15,Acrisure Stadium,Pittsburgh Steelers,Las Vegas Raiders,
228,16,25/12/2022 18:00,Hard Rock Stadium,Miami Dolphins,Green Bay Packers,
227,16,25/12/2022 21:30,SoFi Stadium,Los Angeles Rams,Denver Broncos,
226,16,26/12/2022 01:20,State Farm Stadium,Arizona Cardinals,Tampa Bay Buccaneers,
225,16,27/12/2022 01:15,Lucas Oil Stadium,Indianapolis Colts,Los Angeles Chargers,
256,17,30/12/2022 01:15,Nissan Stadium,Tennessee Titans,Dallas Cowboys,
246,17,01/01/2023 18:00,Mercedes-Benz Stadium,Atlanta Falcons,Arizona Cardinals,
247,17,01/01/2023 18:00,M&T Bank Stadium,Baltimore Ravens,Pittsburgh Steelers,
248,17,01/01/2023 18:00,Ford Field,Detroit Lions,Chicago Bears,
249,17,01/01/2023 18:00,NRG Stadium,Houston Texans,Jacksonville Jaguars,
250,17,01/01/2023 18:00,GEHA Field at Arrowhead Stadium,Kansas City Chiefs,Denver Broncos,
251,17,01/01/2023 18:00,Gillette Stadium,New England Patriots,Miami Dolphins,
252,17,01/01/2023 18:00,MetLife Stadium,New York Giants,Indianapolis Colts,
253,17,01/01/2023 18:00,Lincoln Financial Field,Philadelphia Eagles,New Orleans Saints,
254,17,01/01/2023 18:00,Raymond James Stadium,Tampa Bay Buccaneers,Carolina Panthers,
255,17,01/01/2023 18:00,FedExField,Washington Commanders,Cleveland Browns,
244,17,01/01/2023 21:05,Allegiant Stadium,Las Vegas Raiders,San Francisco 49ers,
245,17,01/01/2023 21:05,Lumen Field,Seattle Seahawks,New York Jets,
243,17,01/01/2023 21:25,Lambeau Field,Green Bay Packers,Minnesota Vikings,
242,17,02/01/2023 01:20,SoFi Stadium,Los Angeles Chargers,Los Angeles Rams,
241,17,03/01/2023 01:30,Paul Brown Stadium,Cincinnati Bengals,Buffalo Bills,
257,18,07/01/2023 18:00,Mercedes-Benz Stadium,Atlanta Falcons,Tampa Bay Buccaneers,
258,18,07/01/2023 18:00,Highmark Stadium,Buffalo Bills,New England Patriots,
259,18,07/01/2023 18:00,Soldier Field,Chicago Bears,Minnesota Vikings,
260,18,07/01/2023 18:00,Paul Brown Stadium,Cincinnati Bengals,Baltimore Ravens,
261,18,07/01/2023 18:00,Lambeau Field,Green Bay Packers,Detroit Lions,
262,18,07/01/2023 18:00,Lucas Oil Stadium,Indianapolis Colts,Houston Texans,
263,18,07/01/2023 18:00,TIAA Bank Field,Jacksonville Jaguars,Tennessee Titans,
264,18,07/01/2023 18:00,Hard Rock Stadium,Miami Dolphins,New York Jets,
265,18,07/01/2023 18:00,Caesars Superdome,New Orleans Saints,Carolina Panthers,
266,18,07/01/2023 18:00,Lincoln Financial Field,Philadelphia Eagles,New York Giants,
267,18,07/01/2023 18:00,Acrisure Stadium,Pittsburgh Steelers,Cleveland Browns,
268,18,07/01/2023 18:00,FedExField,Washington Commanders,Dallas Cowboys,
269,18,07/01/2023 18:00,Empower Field at Mile High,Denver Broncos,Los Angeles Chargers,
270,18,07/01/2023 18:00,Allegiant Stadium,Las Vegas Raiders,Kansas City Chiefs,
271,18,07/01/2023 18:00,Lumen Field,Seattle Seahawks,Los Angeles Rams,
272,18,07/01/2023 18:00,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,
